alias	canonical_page	type	notes
OCR Physics A	OCR-Physics-A-H556-Specification	source	
H556	OCR-Physics-A-H556-Specification	source	
OCR H556 specification	OCR-Physics-A-H556-Specification	source	
OCR Physics Map	OCR-Physics-Map	moc	
H556 Map	OCR-Physics-Map	moc	
OCR Physics A at a glance	OCR-Physics-A-H556-Specification	source	
H556 at a glance	OCR-Physics-A-H556-Specification	source	
H556 specification at a glance	OCR-Physics-A-H556-Specification	source	
H556 specification updates	OCR-Physics-A-H556-Specification	source	
OCR Physics A subject updates	OCR-Physics-A-H556-Specification	source	
OCR Mathematical Skills Handbook	OCR-Physics-Mathematical-Skills-Handbook	source	
Maths Skills Handbook	OCR-Physics-Mathematical-Skills-Handbook	source	
M-codes	OCR-Physics-Mathematical-Skills-Handbook	source	
OCR maths requirements	OCR-Physics-Mathematical-Skills-Handbook	source	
OCR Practical Skills Handbook	OCR-Physics-Practical-Skills-Handbook	source	
Practical Skills Handbook	OCR-Physics-Practical-Skills-Handbook	source	
PAG handbook	OCR-Physics-Practical-Skills-Handbook	source	
Uncertainty	Measurement-Uncertainty	concept	
Systematic error	Systematic-and-Random-Errors	concept	
Random error	Systematic-and-Random-Errors	concept	
Accuracy	Resolution-Accuracy-and-Precision	concept	
Precision	Resolution-Accuracy-and-Precision	concept	
Resolution	Resolution-Accuracy-and-Precision	concept	
Percentage uncertainty	Calculating-Percentage-Uncertainty	method	
Percentage difference	Calculating-Percentage-Difference	method	
Significant figures	Significant-Figures-in-Measurements	method	
Line of best fit	Line-of-Best-Fit-Graph	representation	
Results table	Results-Table	representation	
OCR GCSE Physics A	OCR-GCSE-Gateway-Physics-A-J249-Specification	source	
GCSE Gateway Physics A	OCR-GCSE-Gateway-Physics-A-J249-Specification	source	
J249	OCR-GCSE-Gateway-Physics-A-J249-Specification	source	
GCSE Physics J249	OCR-GCSE-Gateway-Physics-A-J249-Specification	source	
GCSE Physics Map	GCSE-Foundations-MOC	moc	
J249 Map	GCSE-Foundations-MOC	moc	
CERN	CERN-Science	source	
CERN science	CERN-Science	source	
Particle Physics Map	Particle-Physics-Map	frontier-map	
Standard Model Map	Particle-Physics-Map	frontier-map	
IOP Explore Physics	IOP-Explore-Physics	source	
Institute of Physics explainers	IOP-Explore-Physics	source	
NASA Astrophysics	NASA-Astrophysics	source	
Cosmology Map	Cosmology-Map	frontier-map	
Big Bang Map	Cosmology-Map	frontier-map	
Refraction of Waves	Wave-Refraction	concept	
Refraction-of-Waves	Wave-Refraction	concept	link-form alias; 7 inbound links
Snells Law	Snell-Law	law-result	
Snells-Law	Snell-Law	law-result	link-form alias
Wave Speed	Wave-Speed	physical-quantity	the quantity; equation is [[Wave-Speed-Equation]]
Energy Transfer	Energy-Transfer	concept	promoted to own page 2026-05-19
Energy Transferred	Energy-Transfer	concept
Transfer of Energy	Energy-Transfer	concept
Principle of Superposition	Superposition	concept	
Principle-of-Superposition	Superposition	concept	link-form; 3 inbound
Ionisation Energy	Ionisation-Energy	physical-quantity	quantity; process is [[Ionisation]]
Ionization Energy	Ionisation-Energy	physical-quantity
Law of Reflection	Law-of-Reflection	law-result	law; phenomenon is [[Wave-Reflection]]
Vector Components	Vectors-and-Scalars	concept	
Vector-Components	Vectors-and-Scalars	concept	link-form
